"","title","description","streetaddress","city","state","Year","lat","long"
"90","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1981,"37.89094105",-122.290708115713
"91","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1982,"37.89094105",-122.290708115713
"92","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2012,"39.7398666",-104.969066
"93","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2013,"39.7398666",-104.969066
"94","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2014,"39.7398666",-104.969066
"95","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2015,"39.7398666",-104.969066
"96","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2016,"39.7398666",-104.969066
"97","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2017,"39.7398666",-104.969066
"98","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2018,"39.7398666",-104.969066
"99","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2019,"39.7398666",-104.969066
"100","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2020,"39.7398666",-104.969066
"101","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2021,"39.7398666",-104.969066
"102","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2022,"39.7398666",-104.969066
"103","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2023,"39.7398666",-104.969066
"104","Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",2024,"39.7398666",-104.969066
"105","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1992,"40.7457627",-73.9005837
"106","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1993,"40.7457627",-73.9005837
"107","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1994,"40.7457627",-73.9005837
"108","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1995,"40.7457627",-73.9005837
"109","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1996,"40.7457627",-73.9005837
"110","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1997,"40.7457627",-73.9005837
"111","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1998,"40.7457627",-73.9005837
"112","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",1999,"40.7457627",-73.9005837
"113","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2000,"40.7457627",-73.9005837
"114","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2001,"40.7457627",-73.9005837
"115","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2002,"40.7457627",-73.9005837
"116","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2003,"40.7457627",-73.9005837
"117","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2004,"40.7457627",-73.9005837
"118","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2005,"40.7457627",-73.9005837
"119","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2006,"40.7457627",-73.9005837
"120","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2007,"40.7457627",-73.9005837
"121","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2008,"40.7457627",-73.9005837
"122","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2009,"40.7457627",-73.9005837
"123","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2010,"40.7457627",-73.9005837
"124","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2011,"40.7457627",-73.9005837
"125","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2012,"40.7457627",-73.9005837
"126","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2013,"40.7457627",-73.9005837
"127","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2014,"40.7457627",-73.9005837
"128","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2015,"40.7457627",-73.9005837
"129","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2016,"40.7457627",-73.9005837
"130","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2017,"40.7457627",-73.9005837
"131","Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",2018,"40.7457627",-73.9005837
"132","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1911,"40.7533413",-73.9847911
"133","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1912,"40.7533413",-73.9847911
"134","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1913,"40.7533413",-73.9847911
"135","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1914,"40.7533413",-73.9847911
"136","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1915,"40.7533413",-73.9847911
"137","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1916,"40.7533413",-73.9847911
"138","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1917,"40.7533413",-73.9847911
"139","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1918,"40.7533413",-73.9847911
"140","Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",1919,"40.7533413",-73.9847911
